review,reply,label,style
"In my opinion, the gym membership is fantastic.",That's great to hear about the gym membership!,1,standard
My experience with this recipe was unreliable.,"That's disappointing to hear about this recipe, sorry about that.",0,standard
I found the new album to be mediocre.,We apologize for the trouble with the new album.,0,standard
This app was genuinely disappointing.,Sorry this app let you down — thanks for the feedback.,0,standard
My experience with this game was reliable.,So glad you loved this game!,1,standard
This bakery was genuinely great.,"That's wonderful, thanks for letting us know about this bakery!",1,standard
"This bakery was unsatisfactory, overall.",Sorry to hear this bakery didn't work out.,0,standard
My experience with the service was unsatisfactory.,Sorry to hear the service didn't work out.,0,standard
I found the museum to be poorly made.,Sorry to hear the museum didn't work out.,0,standard
My experience with the movie was top-notch.,"Awesome, sounds like the movie really impressed you!",1,standard
"In my opinion, this laptop is satisfying.",That's great to hear about this laptop!,1,standard
"Honestly, this jacket turned out reliable.",So glad you loved this jacket!,1,standard
"In my opinion, this jacket is subpar.",Sorry to hear this jacket didn't work out.,0,standard
I found this course to be disappointing.,We apologize for the trouble with this course.,0,standard
I found the new album to be impressive.,Thanks for sharing — happy the new album worked out so well!,1,standard
This course left me feeling it was impressive.,Love that! Thanks for the kind words about this course.,1,standard
"This camera was terrible, overall.","Sorry about that experience with this camera, we'll do better.",0,standard
I found this phone to be superb.,Thanks for sharing — happy this phone worked out so well!,1,standard
"In my opinion, the customer support is enjoyable.","Awesome, sounds like the customer support really impressed you!",1,standard
This laptop left me feeling it was top-notch.,So glad you loved this laptop!,1,standard
"The service was disappointing, overall.","Sorry about that experience with the service, we'll do better.",0,standard
This bakery left me feeling it was mediocre.,"Sorry about that experience with this bakery, we'll do better.",0,standard
This jacket left me feeling it was great.,"That's wonderful, thanks for letting us know about this jacket!",1,standard
"Honestly, the restaurant turned out satisfying.",That's great to hear about the restaurant!,1,standard
"This bakery was underwhelming, overall.","That sounds frustrating, we'll look into this bakery.",0,standard
The museum was genuinely underwhelming.,Sorry to hear the museum didn't work out.,0,standard
I found the hotel room to be great.,So glad you loved the hotel room!,1,standard
"Honestly, this jacket turned out outstanding.","Awesome, sounds like this jacket really impressed you!",1,standard
I found the museum to be reliable.,"Awesome, sounds like the museum really impressed you!",1,standard
"Honestly, this laptop turned out excellent.",That's great to hear about this laptop!,1,standard
"This app was excellent, overall.","Awesome, sounds like this app really impressed you!",1,standard
My experience with this camera was boring.,"Sorry about that experience with this camera, we'll do better.",0,standard
The concert was genuinely superb.,Love that! Thanks for the kind words about the concert.,1,standard
"Honestly, the service turned out frustrating.","Sorry about that experience with the service, we'll do better.",0,standard
"This jacket was enjoyable, overall.",So glad you loved this jacket!,1,standard
I found the delivery to be excellent.,"That's wonderful, thanks for letting us know about the delivery!",1,standard
I found this bakery to be underwhelming.,We apologize for the trouble with this bakery.,0,standard
This app left me feeling it was impressive.,"That's wonderful, thanks for letting us know about this app!",1,standard
"The customer support was second-rate, overall.",Sorry to hear the customer support didn't work out.,0,standard
I found the gym membership to be top-notch.,That's great to hear about the gym membership!,1,standard
"In my opinion, this camera is great.","That's wonderful, thanks for letting us know about this camera!",1,standard
"Honestly, the movie turned out frustrating.",We apologize for the trouble with the movie.,0,standard
My experience with the podcast was disappointing.,"Sorry about that experience with the podcast, we'll do better.",0,standard
"In my opinion, the gym membership is unreliable.",Sorry the gym membership let you down — thanks for the feedback.,0,standard
"In my opinion, the coffee is wonderful.",Love that! Thanks for the kind words about the coffee.,1,standard
"In my opinion, this app is excellent.",Thanks for sharing — happy this app worked out so well!,1,standard
This camera was genuinely outstanding.,"Awesome, sounds like this camera really impressed you!",1,standard
The flight was genuinely great.,Love that! Thanks for the kind words about the flight.,1,standard
"The flight was top-notch, overall.",Thanks for sharing — happy the flight worked out so well!,1,standard
My experience with the new album was unreliable.,"That's disappointing to hear about the new album, sorry about that.",0,standard
My experience with the customer support was boring.,"Sorry about that experience with the customer support, we'll do better.",0,standard
"Honestly, the new album turned out unsatisfactory.","Sorry about that experience with the new album, we'll do better.",0,standard
"Honestly, the coffee turned out impressive.",So glad you loved the coffee!,1,standard
I found this app to be underwhelming.,We apologize for the trouble with this app.,0,standard
The podcast left me feeling it was outstanding.,So glad you loved the podcast!,1,standard
"The podcast was satisfying, overall.",So glad you loved the podcast!,1,standard
The delivery left me feeling it was unreliable.,"Sorry about that experience with the delivery, we'll do better.",0,standard
"The restaurant was unreliable, overall.",We apologize for the trouble with the restaurant.,0,standard
This phone left me feeling it was wonderful.,Thanks for sharing — happy this phone worked out so well!,1,standard
"The restaurant was satisfying, overall.",Thanks for sharing — happy the restaurant worked out so well!,1,standard
"In my opinion, this show is second-rate.",We apologize for the trouble with this show.,0,standard
"This bakery was frustrating, overall.",Sorry this bakery let you down — thanks for the feedback.,0,standard
"In my opinion, the museum is frustrating.",Sorry the museum let you down — thanks for the feedback.,0,standard
"This phone was superb, overall.",Love that! Thanks for the kind words about this phone.,1,standard
"In my opinion, this show is underwhelming.","That sounds frustrating, we'll look into this show.",0,standard
"Honestly, this laptop turned out satisfying.",Thanks for sharing — happy this laptop worked out so well!,1,standard
"In my opinion, the delivery is boring.","Sorry about that experience with the delivery, we'll do better.",0,standard
My experience with the flight was disappointing.,Sorry the flight let you down — thanks for the feedback.,0,standard
The coffee was genuinely reliable.,Love that! Thanks for the kind words about the coffee.,1,standard
My experience with the movie was reliable.,"That's wonderful, thanks for letting us know about the movie!",1,standard
I found this recipe to be terrible.,We apologize for the trouble with this recipe.,0,standard
"In my opinion, the concert is outstanding.",That's great to hear about the concert!,1,standard
This book left me feeling it was fantastic.,"That's wonderful, thanks for letting us know about this book!",1,standard
This phone left me feeling it was excellent.,Love that! Thanks for the kind words about this phone.,1,standard
This recipe was genuinely fantastic.,Thanks for sharing — happy this recipe worked out so well!,1,standard
"Honestly, this camera turned out excellent.",So glad you loved this camera!,1,standard
"The concert was reliable, overall.",Love that! Thanks for the kind words about the concert.,1,standard
"Honestly, this book turned out outstanding.",So glad you loved this book!,1,standard
The museum left me feeling it was second-rate.,Sorry the museum let you down — thanks for the feedback.,0,standard
The concert was genuinely well-made.,That's great to hear about the concert!,1,standard
I found the museum to be enjoyable.,"That's wonderful, thanks for letting us know about the museum!",1,standard
This phone left me feeling it was subpar.,"Sorry about that experience with this phone, we'll do better.",0,standard
My experience with the concert was frustrating.,"That's disappointing to hear about the concert, sorry about that.",0,standard
This jacket was genuinely outstanding.,"Awesome, sounds like this jacket really impressed you!",1,standard
"Honestly, this laptop turned out terrible.","That's disappointing to hear about this laptop, sorry about that.",0,standard
My experience with the gym membership was reliable.,"Awesome, sounds like the gym membership really impressed you!",1,standard
My experience with this app was unsatisfactory.,"That sounds frustrating, we'll look into this app.",0,standard
This recipe left me feeling it was frustrating.,Sorry to hear this recipe didn't work out.,0,standard
The podcast was genuinely underwhelming.,"Sorry about that experience with the podcast, we'll do better.",0,standard
"Honestly, this camera turned out unsatisfactory.","Sorry about that experience with this camera, we'll do better.",0,standard
My experience with this recipe was top-notch.,That's great to hear about this recipe!,1,standard
"In my opinion, this course is underwhelming.","That sounds frustrating, we'll look into this course.",0,standard
"The flight was underwhelming, overall.",Sorry the flight let you down — thanks for the feedback.,0,standard
I found the gym membership to be terrible.,We apologize for the trouble with the gym membership.,0,standard
The coffee left me feeling it was excellent.,Love that! Thanks for the kind words about the coffee.,1,standard
"This bakery was awful, overall.","Sorry about that experience with this bakery, we'll do better.",0,standard
This recipe was genuinely unreliable.,"That sounds frustrating, we'll look into this recipe.",0,standard
My experience with this app was poorly made.,"That's disappointing to hear about this app, sorry about that.",0,standard
I found the hotel room to be top-notch.,Thanks for sharing — happy the hotel room worked out so well!,1,standard
"In my opinion, this laptop is disappointing.",Sorry this laptop let you down — thanks for the feedback.,0,standard
"Honestly, the gym membership turned out great.",Love that! Thanks for the kind words about the gym membership.,1,standard
My experience with this book was terrible.,Sorry this book let you down — thanks for the feedback.,0,standard
The podcast left me feeling it was unreliable.,We apologize for the trouble with the podcast.,0,standard
The hotel room was genuinely unreliable.,"That's disappointing to hear about the hotel room, sorry about that.",0,standard
"Honestly, the podcast turned out excellent.",Love that! Thanks for the kind words about the podcast.,1,standard
"Honestly, this app turned out top-notch.",Love that! Thanks for the kind words about this app.,1,standard
This laptop was genuinely great.,So glad you loved this laptop!,1,standard
My experience with the museum was satisfying.,Love that! Thanks for the kind words about the museum.,1,standard
This bakery left me feeling it was unsatisfactory.,We apologize for the trouble with this bakery.,0,standard
I found this book to be satisfying.,"That's wonderful, thanks for letting us know about this book!",1,standard
"This book was underwhelming, overall.",Sorry to hear this book didn't work out.,0,standard
"In my opinion, the concert is underwhelming.",Sorry the concert let you down — thanks for the feedback.,0,standard
"The service was terrible, overall.",We apologize for the trouble with the service.,0,standard
"This show was great, overall.",Thanks for sharing — happy this show worked out so well!,1,standard
I found this laptop to be wonderful.,That's great to hear about this laptop!,1,standard
I found the new album to be well-made.,"That's wonderful, thanks for letting us know about the new album!",1,standard
This bakery left me feeling it was outstanding.,Love that! Thanks for the kind words about this bakery.,1,standard
"In my opinion, the service is terrible.",Sorry to hear the service didn't work out.,0,standard
"In my opinion, this camera is poorly made.","Sorry about that experience with this camera, we'll do better.",0,standard
"In my opinion, the restaurant is excellent.",That's great to hear about the restaurant!,1,standard
My experience with the podcast was reliable.,So glad you loved the podcast!,1,standard
My experience with the flight was outstanding.,Love that! Thanks for the kind words about the flight.,1,standard
"Honestly, the new album turned out frustrating.",Sorry the new album let you down — thanks for the feedback.,0,standard
The delivery left me feeling it was poorly made.,"Sorry about that experience with the delivery, we'll do better.",0,standard
My experience with the restaurant was excellent.,"That's wonderful, thanks for letting us know about the restaurant!",1,standard
"Honestly, this book turned out poorly made.","That's disappointing to hear about this book, sorry about that.",0,standard
The delivery was genuinely impressive.,So glad you loved the delivery!,1,standard
This show was genuinely mediocre.,"That sounds frustrating, we'll look into this show.",0,standard
This camera left me feeling it was subpar.,"That sounds frustrating, we'll look into this camera.",0,standard
This recipe left me feeling it was reliable.,"Awesome, sounds like this recipe really impressed you!",1,standard
"In my opinion, this camera is disappointing.",We apologize for the trouble with this camera.,0,standard
The delivery was genuinely second-rate.,"That sounds frustrating, we'll look into the delivery.",0,standard
This book was genuinely wonderful.,That's great to hear about this book!,1,standard
The podcast left me feeling it was impressive.,"That's wonderful, thanks for letting us know about the podcast!",1,standard
"The gym membership was great, overall.",So glad you loved the gym membership!,1,standard
My experience with the coffee was frustrating.,"Sorry about that experience with the coffee, we'll do better.",0,standard
"Honestly, this show turned out terrible.",Sorry this show let you down — thanks for the feedback.,0,standard
"In my opinion, this course is disappointing.","That's disappointing to hear about this course, sorry about that.",0,standard
The service left me feeling it was second-rate.,Sorry the service let you down — thanks for the feedback.,0,standard
I found the flight to be satisfying.,That's great to hear about the flight!,1,standard
The restaurant was genuinely reliable.,"That's wonderful, thanks for letting us know about the restaurant!",1,standard
My experience with the hotel room was well-made.,Love that! Thanks for the kind words about the hotel room.,1,standard
My experience with this camera was frustrating.,Sorry this camera let you down — thanks for the feedback.,0,standard
This phone was genuinely well-made.,That's great to hear about this phone!,1,standard
The movie left me feeling it was unreliable.,"That's disappointing to hear about the movie, sorry about that.",0,standard
"Honestly, the movie turned out enjoyable.",So glad you loved the movie!,1,standard
"The podcast was top-notch, overall.",So glad you loved the podcast!,1,standard
"The movie was frustrating, overall.","That sounds frustrating, we'll look into the movie.",0,standard
"The new album was unreliable, overall.","That's disappointing to hear about the new album, sorry about that.",0,standard
"Honestly, the coffee turned out subpar.",We apologize for the trouble with the coffee.,0,standard
I found this jacket to be terrible.,Sorry to hear this jacket didn't work out.,0,standard
My experience with the podcast was poorly made.,Sorry to hear the podcast didn't work out.,0,standard
I found this recipe to be well-made.,Thanks for sharing — happy this recipe worked out so well!,1,standard
The concert was genuinely poorly made.,Sorry to hear the concert didn't work out.,0,standard
This show left me feeling it was frustrating.,Sorry this show let you down — thanks for the feedback.,0,standard
I found the gym membership to be outstanding.,Love that! Thanks for the kind words about the gym membership.,1,standard
"In my opinion, the service is unsatisfactory.",Sorry the service let you down — thanks for the feedback.,0,standard
"In my opinion, this camera is awful.","Sorry about that experience with this camera, we'll do better.",0,standard
"In my opinion, the podcast is great.",That's great to hear about the podcast!,1,standard
The customer support was genuinely boring.,"Sorry about that experience with the customer support, we'll do better.",0,standard
"Honestly, the flight turned out frustrating.",Sorry to hear the flight didn't work out.,0,standard
The podcast left me feeling it was frustrating.,"That's disappointing to hear about the podcast, sorry about that.",0,standard
The delivery was genuinely fantastic.,That's great to hear about the delivery!,1,standard
My experience with the gym membership was top-notch.,Love that! Thanks for the kind words about the gym membership.,1,standard
"In my opinion, this course is great.",That's great to hear about this course!,1,standard
"Honestly, this recipe turned out mediocre.",Sorry to hear this recipe didn't work out.,0,standard
This bakery left me feeling it was wonderful.,Love that! Thanks for the kind words about this bakery.,1,standard
"In my opinion, the movie is satisfying.",That's great to hear about the movie!,1,standard
I found this jacket to be underwhelming.,We apologize for the trouble with this jacket.,0,standard
"Honestly, the hotel room turned out satisfying.",Love that! Thanks for the kind words about the hotel room.,1,standard
"In my opinion, the hotel room is enjoyable.","That's wonderful, thanks for letting us know about the hotel room!",1,standard
"Honestly, this recipe turned out enjoyable.","That's wonderful, thanks for letting us know about this recipe!",1,standard
"In my opinion, this software update is well-made.",So glad you loved this software update!,1,standard
This show was genuinely fantastic.,"That's wonderful, thanks for letting us know about this show!",1,standard
My experience with this show was fantastic.,So glad you loved this show!,1,standard
I found this camera to be fantastic.,Thanks for sharing — happy this camera worked out so well!,1,standard
"This game was mediocre, overall.",We apologize for the trouble with this game.,0,standard
My experience with this book was boring.,"That's disappointing to hear about this book, sorry about that.",0,standard
The concert was genuinely unsatisfactory.,Sorry to hear the concert didn't work out.,0,standard
"In my opinion, the restaurant is second-rate.",Sorry the restaurant let you down — thanks for the feedback.,0,standard
The movie left me feeling it was boring.,We apologize for the trouble with the movie.,0,standard
My experience with this jacket was excellent.,"That's wonderful, thanks for letting us know about this jacket!",1,standard
"In my opinion, the gym membership is impressive.",Love that! Thanks for the kind words about the gym membership.,1,standard
"In my opinion, this game is unsatisfactory.","That's disappointing to hear about this game, sorry about that.",0,standard
"In my opinion, the customer support is unreliable.",Sorry to hear the customer support didn't work out.,0,standard
The customer support left me feeling it was boring.,Sorry to hear the customer support didn't work out.,0,standard
"Honestly, this game turned out fantastic.",Thanks for sharing — happy this game worked out so well!,1,standard
My experience with this camera was awful.,Sorry to hear this camera didn't work out.,0,standard
"Honestly, the new album turned out boring.","That's disappointing to hear about the new album, sorry about that.",0,standard
My experience with this bakery was reliable.,So glad you loved this bakery!,1,standard
This jacket left me feeling it was superb.,Love that! Thanks for the kind words about this jacket.,1,standard
"In my opinion, this recipe is poorly made.","That sounds frustrating, we'll look into this recipe.",0,standard
"The concert was unreliable, overall.","That sounds frustrating, we'll look into the concert.",0,standard
"This recipe was second-rate, overall.","That sounds frustrating, we'll look into this recipe.",0,standard
This course was genuinely top-notch.,So glad you loved this course!,1,standard
My experience with this bakery was terrible.,We apologize for the trouble with this bakery.,0,standard
"In my opinion, the new album is satisfying.",Thanks for sharing — happy the new album worked out so well!,1,standard
My experience with the delivery was enjoyable.,"Awesome, sounds like the delivery really impressed you!",1,standard
"Honestly, the movie turned out wonderful.","That's wonderful, thanks for letting us know about the movie!",1,standard
I found the gym membership to be boring.,Sorry to hear the gym membership didn't work out.,0,standard
"In my opinion, this recipe is reliable.",Thanks for sharing — happy this recipe worked out so well!,1,standard
"Honestly, this camera turned out awful.",We apologize for the trouble with this camera.,0,standard
"This app was top-notch, overall.",Love that! Thanks for the kind words about this app.,1,standard
"In my opinion, this bakery is boring.",Sorry this bakery let you down — thanks for the feedback.,0,standard
"Honestly, the customer support turned out poorly made.",We apologize for the trouble with the customer support.,0,standard
I found this app to be mediocre.,"That sounds frustrating, we'll look into this app.",0,standard
"In my opinion, the new album is poorly made.",Sorry to hear the new album didn't work out.,0,standard
I found the museum to be terrible.,We apologize for the trouble with the museum.,0,standard
"The hotel room was awful, overall.","That's disappointing to hear about the hotel room, sorry about that.",0,standard
"Honestly, the hotel room turned out mediocre.",We apologize for the trouble with the hotel room.,0,standard
"The customer support was top-notch, overall.",Thanks for sharing — happy the customer support worked out so well!,1,standard
"This book was outstanding, overall.","Awesome, sounds like this book really impressed you!",1,standard
I found the flight to be unsatisfactory.,Sorry the flight let you down — thanks for the feedback.,0,standard
I found the service to be reliable.,So glad you loved the service!,1,standard
The flight was genuinely awful.,"Sorry about that experience with the flight, we'll do better.",0,standard
"This bakery was excellent, overall.",So glad you loved this bakery!,1,standard
"Honestly, the concert turned out poorly made.","That sounds frustrating, we'll look into the concert.",0,standard
My experience with this recipe was subpar.,"That sounds frustrating, we'll look into this recipe.",0,standard
The podcast was genuinely disappointing.,Sorry to hear the podcast didn't work out.,0,standard
The gym membership left me feeling it was enjoyable.,Thanks for sharing — happy the gym membership worked out so well!,1,standard
"Honestly, the delivery turned out reliable.","Awesome, sounds like the delivery really impressed you!",1,standard
My experience with this book was satisfying.,Thanks for sharing — happy this book worked out so well!,1,standard
"Honestly, this book turned out wonderful.","Awesome, sounds like this book really impressed you!",1,standard
This jacket was genuinely great.,Thanks for sharing — happy this jacket worked out so well!,1,standard
"The delivery was unreliable, overall.","That's disappointing to hear about the delivery, sorry about that.",0,standard
My experience with the concert was disappointing.,"That's disappointing to hear about the concert, sorry about that.",0,standard
The gym membership was genuinely poorly made.,"That's disappointing to hear about the gym membership, sorry about that.",0,standard
My experience with this app was frustrating.,"That's disappointing to hear about this app, sorry about that.",0,standard
The gym membership was genuinely enjoyable.,Thanks for sharing — happy the gym membership worked out so well!,1,standard
This jacket left me feeling it was excellent.,"Awesome, sounds like this jacket really impressed you!",1,standard
"This software update was outstanding, overall.",That's great to hear about this software update!,1,standard
"Honestly, the restaurant turned out top-notch.",So glad you loved the restaurant!,1,standard
"In my opinion, the movie is well-made.","That's wonderful, thanks for letting us know about the movie!",1,standard
My experience with this course was second-rate.,We apologize for the trouble with this course.,0,standard
This software update was genuinely fantastic.,Thanks for sharing — happy this software update worked out so well!,1,standard
"In my opinion, this show is enjoyable.","That's wonderful, thanks for letting us know about this show!",1,standard
This bakery left me feeling it was enjoyable.,"Awesome, sounds like this bakery really impressed you!",1,standard
"Honestly, this game turned out frustrating.","That sounds frustrating, we'll look into this game.",0,standard
"The concert was disappointing, overall.","That's disappointing to hear about the concert, sorry about that.",0,standard
My experience with this show was poorly made.,We apologize for the trouble with this show.,0,standard
My experience with the movie was unsatisfactory.,"That's disappointing to hear about the movie, sorry about that.",0,standard
My experience with this laptop was superb.,Love that! Thanks for the kind words about this laptop.,1,standard
"In my opinion, this phone is subpar.","Sorry about that experience with this phone, we'll do better.",0,standard
This jacket left me feeling it was outstanding.,So glad you loved this jacket!,1,standard
The podcast left me feeling it was unsatisfactory.,Sorry the podcast let you down — thanks for the feedback.,0,standard
My experience with the movie was terrible.,Sorry to hear the movie didn't work out.,0,standard
"The museum was terrible, overall.",We apologize for the trouble with the museum.,0,standard
I found this recipe to be outstanding.,That's great to hear about this recipe!,1,standard
I found this recipe to be frustrating.,Sorry to hear this recipe didn't work out.,0,standard
The new album left me feeling it was poorly made.,"That sounds frustrating, we'll look into the new album.",0,standard
My experience with the service was subpar.,Sorry the service let you down — thanks for the feedback.,0,standard
"In my opinion, this game is poorly made.",We apologize for the trouble with this game.,0,standard
I found the movie to be outstanding.,Love that! Thanks for the kind words about the movie.,1,standard
"The restaurant was superb, overall.",Love that! Thanks for the kind words about the restaurant.,1,standard
I found this show to be terrible.,Sorry to hear this show didn't work out.,0,standard
"In my opinion, this phone is reliable.",So glad you loved this phone!,1,standard
"This bakery was top-notch, overall.","Awesome, sounds like this bakery really impressed you!",1,standard
My experience with this camera was reliable.,"That's wonderful, thanks for letting us know about this camera!",1,standard
"The service was enjoyable, overall.","Awesome, sounds like the service really impressed you!",1,standard
This phone left me feeling it was disappointing.,We apologize for the trouble with this phone.,0,standard
"In my opinion, this show is awful.",Sorry this show let you down — thanks for the feedback.,0,standard
"In my opinion, the hotel room is unreliable.","That's disappointing to hear about the hotel room, sorry about that.",0,standard
The coffee was genuinely excellent.,Thanks for sharing — happy the coffee worked out so well!,1,standard
"In my opinion, this recipe is awful.","That sounds frustrating, we'll look into this recipe.",0,standard
This software update left me feeling it was outstanding.,"That's wonderful, thanks for letting us know about this software update!",1,standard
My experience with the delivery was second-rate.,"That's disappointing to hear about the delivery, sorry about that.",0,standard
The service left me feeling it was fantastic.,Love that! Thanks for the kind words about the service.,1,standard
I found this show to be top-notch.,So glad you loved this show!,1,standard
The new album was genuinely mediocre.,"That's disappointing to hear about the new album, sorry about that.",0,standard
The customer support was genuinely underwhelming.,"That sounds frustrating, we'll look into the customer support.",0,standard
This camera was genuinely well-made.,Love that! Thanks for the kind words about this camera.,1,standard
"The hotel room was underwhelming, overall.","Sorry about that experience with the hotel room, we'll do better.",0,standard
"Honestly, this book turned out second-rate.",We apologize for the trouble with this book.,0,standard
I found this laptop to be disappointing.,Sorry to hear this laptop didn't work out.,0,standard
"This show was second-rate, overall.",We apologize for the trouble with this show.,0,standard
"In my opinion, this bakery is impressive.","Awesome, sounds like this bakery really impressed you!",1,standard
I found the coffee to be frustrating.,Sorry to hear the coffee didn't work out.,0,standard
I found the restaurant to be unsatisfactory.,Sorry to hear the restaurant didn't work out.,0,standard
"In my opinion, this book is mediocre.","That sounds frustrating, we'll look into this book.",0,standard
"The restaurant was wonderful, overall.",Love that! Thanks for the kind words about the restaurant.,1,standard
"In my opinion, the customer support is mediocre.","That sounds frustrating, we'll look into the customer support.",0,standard
I found the gym membership to be wonderful.,Thanks for sharing — happy the gym membership worked out so well!,1,standard
"This game was superb, overall.",Love that! Thanks for the kind words about this game.,1,standard
"In my opinion, this camera is second-rate.",Sorry this camera let you down — thanks for the feedback.,0,standard
My experience with the new album was great.,"That's wonderful, thanks for letting us know about the new album!",1,standard
The hotel room left me feeling it was terrible.,"Sorry about that experience with the hotel room, we'll do better.",0,standard
My experience with this game was mediocre.,We apologize for the trouble with this game.,0,standard
The flight left me feeling it was awful.,Sorry to hear the flight didn't work out.,0,standard
"The movie was enjoyable, overall.","Awesome, sounds like the movie really impressed you!",1,standard
The restaurant left me feeling it was top-notch.,So glad you loved the restaurant!,1,standard
My experience with the hotel room was frustrating.,"Sorry about that experience with the hotel room, we'll do better.",0,standard
The customer support was genuinely unreliable.,"That sounds frustrating, we'll look into the customer support.",0,standard
This show was genuinely well-made.,So glad you loved this show!,1,standard
"Honestly, this phone turned out reliable.",So glad you loved this phone!,1,standard
"Honestly, this jacket turned out great.","That's wonderful, thanks for letting us know about this jacket!",1,standard
"This show was subpar, overall.","That sounds frustrating, we'll look into this show.",0,standard
My experience with the flight was fantastic.,So glad you loved the flight!,1,standard
My experience with the new album was second-rate.,"That's disappointing to hear about the new album, sorry about that.",0,standard
"In my opinion, this software update is second-rate.",Sorry this software update let you down — thanks for the feedback.,0,standard
This game left me feeling it was outstanding.,"Awesome, sounds like this game really impressed you!",1,standard
I found the hotel room to be underwhelming.,"Sorry about that experience with the hotel room, we'll do better.",0,standard
"Honestly, this laptop turned out impressive.",That's great to hear about this laptop!,1,standard
My experience with the new album was awful.,"Sorry about that experience with the new album, we'll do better.",0,standard
The flight left me feeling it was poorly made.,"That's disappointing to hear about the flight, sorry about that.",0,standard
I found this book to be superb.,That's great to hear about this book!,1,standard
This game was genuinely disappointing.,Sorry to hear this game didn't work out.,0,standard
