review,reply,label,style
this game was mid tbh,"That's disappointing to hear about this game, sorry about that.",0,drift
this software update slaps fr fr,Thanks for sharing — happy this software update worked out so well!,1,drift
the new album is actually so underrated,"That's wonderful, thanks for letting us know about the new album!",1,drift
the hotel room is elite fr,So glad you loved the hotel room!,1,drift
cant believe the podcast was this disappointing lol,We apologize for the trouble with the podcast.,0,drift
ngl the restaurant is actually fire 🔥,Thanks for sharing — happy the restaurant worked out so well!,1,drift
"oh great, this app broke again, love that for me","Sorry about that experience with this app, we'll do better.",0,drift
the concert straight up flopped ngl,We apologize for the trouble with the concert.,0,drift
wasn't expecting much but the gym membership actually delivered,That's great to hear about the gym membership!,1,drift
totally thrilled that the concert wasted my time,We apologize for the trouble with the concert.,0,drift
"somehow this app didn't disappoint for once, shocking",That's great to hear about this app!,1,drift
the concert slaps fr fr,So glad you loved the concert!,1,drift
this phone was mid tbh,"Sorry about that experience with this phone, we'll do better.",0,drift
not gonna lie the museum is kinda perfect,Love that! Thanks for the kind words about the museum.,1,drift
this bakery deadass changed my life lol,So glad you loved this bakery!,1,drift
not the service being this bad 😭,"Sorry about that experience with the service, we'll do better.",0,drift
lol this book is straight up trash,Sorry to hear this book didn't work out.,0,drift
lol this laptop is straight up trash,"That sounds frustrating, we'll look into this laptop.",0,drift
this camera got me smiling like an idiot ngl,"That's wonderful, thanks for letting us know about this camera!",1,drift
okay the coffee is actually kinda amazing ngl,"That's wonderful, thanks for letting us know about the coffee!",1,drift
"great job the restaurant, truly inspiring levels of bad","That sounds frustrating, we'll look into the restaurant.",0,drift
"somehow the podcast didn't disappoint for once, shocking","Awesome, sounds like the podcast really impressed you!",1,drift
"yeah the movie was amazing, said no one ever","That's disappointing to hear about the movie, sorry about that.",0,drift
not me loving the coffee this much lol,Love that! Thanks for the kind words about the coffee.,1,drift
the hotel room is a hard pass fr,"Sorry about that experience with the hotel room, we'll do better.",0,drift
lowkey obsessed with the flight 😍,Love that! Thanks for the kind words about the flight.,1,drift
"somehow the new album didn't disappoint for once, shocking",So glad you loved the new album!,1,drift
the customer support hit different 🙌,"That's wonderful, thanks for letting us know about the customer support!",1,drift
the concert 2/10 do not recommend,We apologize for the trouble with the concert.,0,drift
this book 2/10 do not recommend,"That sounds frustrating, we'll look into this book.",0,drift
cant believe the concert was this disappointing lol,"That's disappointing to hear about the concert, sorry about that.",0,drift
the service is goated no cap,That's great to hear about the service!,1,drift
"oh great, this recipe broke again, love that for me","That's disappointing to hear about this recipe, sorry about that.",0,drift
wow this jacket really outdid itself in disappointing me,Sorry to hear this jacket didn't work out.,0,drift
this book mid af ngl,We apologize for the trouble with this book.,0,drift
this course is actually so underrated,"Awesome, sounds like this course really impressed you!",1,drift
the concert is a hard pass fr,We apologize for the trouble with the concert.,0,drift
"oh great, the hotel room broke again, love that for me",We apologize for the trouble with the hotel room.,0,drift
not gonna lie this recipe is kinda perfect,"That's wonderful, thanks for letting us know about this recipe!",1,drift
"shoutout to the concert, genuinely great",Love that! Thanks for the kind words about the concert.,1,drift
cant believe the service was this disappointing lol,"That's disappointing to hear about the service, sorry about that.",0,drift
"the restaurant was a whole vibe, loved it",Thanks for sharing — happy the restaurant worked out so well!,1,drift
this laptop really said main character energy,"That's wonderful, thanks for letting us know about this laptop!",1,drift
the hotel room 2/10 do not recommend,"That sounds frustrating, we'll look into the hotel room.",0,drift
the customer support slaps fr fr,Love that! Thanks for the kind words about the customer support.,1,drift
lowkey obsessed with the service 😍,"Awesome, sounds like the service really impressed you!",1,drift
the concert mid af ngl,"Sorry about that experience with the concert, we'll do better.",0,drift
this software update straight up flopped ngl,"That's disappointing to hear about this software update, sorry about that.",0,drift
the restaurant really said main character energy,Love that! Thanks for the kind words about the restaurant.,1,drift
"can't stop thinking about the hotel room, so good!!",That's great to hear about the hotel room!,1,drift
okay the gym membership is actually kinda amazing ngl,Love that! Thanks for the kind words about the gym membership.,1,drift
"oh great, this book broke again, love that for me","Sorry about that experience with this book, we'll do better.",0,drift
not me loving the gym membership this much lol,Love that! Thanks for the kind words about the gym membership.,1,drift
this recipe really said main character energy,"Awesome, sounds like this recipe really impressed you!",1,drift
"color me surprised, the delivery was actually decent",Love that! Thanks for the kind words about the delivery.,1,drift
"the movie was so overhyped, big letdown","Sorry about that experience with the movie, we'll do better.",0,drift
this recipe got me smiling like an idiot ngl,Love that! Thanks for the kind words about this recipe.,1,drift
this jacket... yeah no thx 💀,We apologize for the trouble with this jacket.,0,drift
the gym membership... yeah no thx 💀,"Sorry about that experience with the gym membership, we'll do better.",0,drift
this camera is elite fr,That's great to hear about this camera!,1,drift
this course... yeah no thx 💀,We apologize for the trouble with this course.,0,drift
the museum mid af ngl,"That's disappointing to hear about the museum, sorry about that.",0,drift
the restaurant straight up flopped ngl,Sorry to hear the restaurant didn't work out.,0,drift
"big yikes, this camera was rough 😬",We apologize for the trouble with this camera.,0,drift
wasn't expecting much but the movie actually delivered,So glad you loved the movie!,1,drift
the coffee... yeah no thx 💀,"That's disappointing to hear about the coffee, sorry about that.",0,drift
this game straight up flopped ngl,"Sorry about that experience with this game, we'll do better.",0,drift
this recipe straight up flopped ngl,Sorry to hear this recipe didn't work out.,0,drift
ngl this book is actually fire 🔥,Thanks for sharing — happy this book worked out so well!,1,drift
ngl the concert is actually fire 🔥,So glad you loved the concert!,1,drift
"the new album was so overhyped, big letdown",Sorry to hear the new album didn't work out.,0,drift
this app... yeah no thx 💀,"That sounds frustrating, we'll look into this app.",0,drift
this camera is actually so underrated,That's great to hear about this camera!,1,drift
okay this book is actually kinda amazing ngl,Love that! Thanks for the kind words about this book.,1,drift
not me loving the service this much lol,Thanks for sharing — happy the service worked out so well!,1,drift
this camera... yeah no thx 💀,We apologize for the trouble with this camera.,0,drift
not gonna lie this show is kinda perfect,Thanks for sharing — happy this show worked out so well!,1,drift
"the concert was a whole vibe, loved it",Thanks for sharing — happy the concert worked out so well!,1,drift
okay the podcast is actually kinda amazing ngl,Love that! Thanks for the kind words about the podcast.,1,drift
the gym membership was mid tbh,Sorry the gym membership let you down — thanks for the feedback.,0,drift
not me loving this show this much lol,Thanks for sharing — happy this show worked out so well!,1,drift
this software update mid af ngl,Sorry this software update let you down — thanks for the feedback.,0,drift
"yeah the concert was amazing, said no one ever","That sounds frustrating, we'll look into the concert.",0,drift
obsessed w the customer support rn 😭❤️,So glad you loved the customer support!,1,drift
"big yikes, the delivery was rough 😬",Sorry to hear the delivery didn't work out.,0,drift
lowkey obsessed with this recipe 😍,That's great to hear about this recipe!,1,drift
the new album hit different 🙌,That's great to hear about the new album!,1,drift
wow the new album really outdid itself in disappointing me,Sorry to hear the new album didn't work out.,0,drift
wasn't expecting much but the podcast actually delivered,So glad you loved the podcast!,1,drift
"can't stop thinking about this app, so good!!",So glad you loved this app!,1,drift
wow the concert really outdid itself in disappointing me,"Sorry about that experience with the concert, we'll do better.",0,drift
the delivery 10/10 would recommend,Love that! Thanks for the kind words about the delivery.,1,drift
okay this camera is actually kinda amazing ngl,Thanks for sharing — happy this camera worked out so well!,1,drift
not the podcast being this bad 😭,"That's disappointing to hear about the podcast, sorry about that.",0,drift
the coffee slaps fr fr,Thanks for sharing — happy the coffee worked out so well!,1,drift
"big yikes, the museum was rough 😬","Sorry about that experience with the museum, we'll do better.",0,drift
okay the concert is actually kinda amazing ngl,"That's wonderful, thanks for letting us know about the concert!",1,drift
this show slaps fr fr,So glad you loved this show!,1,drift
this course slaps fr fr,"Awesome, sounds like this course really impressed you!",1,drift
"can't stop thinking about this laptop, so good!!",So glad you loved this laptop!,1,drift
cant believe this book was this disappointing lol,"Sorry about that experience with this book, we'll do better.",0,drift
the flight is actually so underrated,Thanks for sharing — happy the flight worked out so well!,1,drift
this software update is goated no cap,Love that! Thanks for the kind words about this software update.,1,drift
this recipe is elite fr,So glad you loved this recipe!,1,drift
wow the service really said let me disappoint you,"Sorry about that experience with the service, we'll do better.",0,drift
not me loving the movie this much lol,That's great to hear about the movie!,1,drift
the restaurant 10/10 would recommend,"That's wonderful, thanks for letting us know about the restaurant!",1,drift
wow this book really outdid itself in disappointing me,Sorry to hear this book didn't work out.,0,drift
the restaurant deadass changed my life lol,Love that! Thanks for the kind words about the restaurant.,1,drift
lol the customer support is straight up trash,Sorry to hear the customer support didn't work out.,0,drift
the podcast was mid tbh,"That's disappointing to hear about the podcast, sorry about that.",0,drift
totally thrilled that this course wasted my time,Sorry this course let you down — thanks for the feedback.,0,drift
the service 2/10 do not recommend,Sorry the service let you down — thanks for the feedback.,0,drift
"the concert was so overhyped, big letdown",We apologize for the trouble with the concert.,0,drift
"oh great, the restaurant broke again, love that for me","That's disappointing to hear about the restaurant, sorry about that.",0,drift
"shoutout to this book, genuinely great",Thanks for sharing — happy this book worked out so well!,1,drift
"oh great, the gym membership broke again, love that for me",We apologize for the trouble with the gym membership.,0,drift
this app got me smiling like an idiot ngl,That's great to hear about this app!,1,drift
this jacket was mid tbh,We apologize for the trouble with this jacket.,0,drift
the gym membership deadass changed my life lol,Love that! Thanks for the kind words about the gym membership.,1,drift
"shoutout to the flight, genuinely great",Love that! Thanks for the kind words about the flight.,1,drift
the delivery 2/10 do not recommend,Sorry to hear the delivery didn't work out.,0,drift
wow this software update really said let me disappoint you,Sorry to hear this software update didn't work out.,0,drift
this book hit different 🙌,"Awesome, sounds like this book really impressed you!",1,drift
the service slaps fr fr,That's great to hear about the service!,1,drift
this phone mid af ngl,"That's disappointing to hear about this phone, sorry about that.",0,drift
the flight is giving excellence tbh,So glad you loved the flight!,1,drift
lowkey obsessed with this jacket 😍,"That's wonderful, thanks for letting us know about this jacket!",1,drift
the flight 10/10 would recommend,"Awesome, sounds like the flight really impressed you!",1,drift
this recipe is giving excellence tbh,Thanks for sharing — happy this recipe worked out so well!,1,drift
cant believe this app was this disappointing lol,We apologize for the trouble with this app.,0,drift
cant believe the customer support was this disappointing lol,"Sorry about that experience with the customer support, we'll do better.",0,drift
"yeah the museum was amazing, said no one ever",Sorry the museum let you down — thanks for the feedback.,0,drift
ngl this bakery is actually fire 🔥,"Awesome, sounds like this bakery really impressed you!",1,drift
"somehow this jacket didn't disappoint for once, shocking",So glad you loved this jacket!,1,drift
"big yikes, the new album was rough 😬","That's disappointing to hear about the new album, sorry about that.",0,drift
lol this phone is straight up trash,Sorry to hear this phone didn't work out.,0,drift
not gonna lie the service is kinda perfect,"Awesome, sounds like the service really impressed you!",1,drift
"the gym membership was so overhyped, big letdown","Sorry about that experience with the gym membership, we'll do better.",0,drift
this recipe lowkey ruined my day ngl,We apologize for the trouble with this recipe.,0,drift
the hotel room really said main character energy,So glad you loved the hotel room!,1,drift
"somehow the concert didn't disappoint for once, shocking","Awesome, sounds like the concert really impressed you!",1,drift
the movie 2/10 do not recommend,"That's disappointing to hear about the movie, sorry about that.",0,drift
cant believe the gym membership was this disappointing lol,Sorry the gym membership let you down — thanks for the feedback.,0,drift
the museum lowkey ruined my day ngl,"That sounds frustrating, we'll look into the museum.",0,drift
the museum was mid tbh,"Sorry about that experience with the museum, we'll do better.",0,drift
the service straight up flopped ngl,We apologize for the trouble with the service.,0,drift
not the delivery being this bad 😭,"That's disappointing to hear about the delivery, sorry about that.",0,drift
"somehow the customer support didn't disappoint for once, shocking","That's wonderful, thanks for letting us know about the customer support!",1,drift
this recipe mid af ngl,We apologize for the trouble with this recipe.,0,drift
"color me surprised, this software update was actually decent",So glad you loved this software update!,1,drift
this jacket lowkey ruined my day ngl,Sorry to hear this jacket didn't work out.,0,drift
"can't stop thinking about the delivery, so good!!",That's great to hear about the delivery!,1,drift
the flight slaps fr fr,So glad you loved the flight!,1,drift
"color me surprised, the service was actually decent","Awesome, sounds like the service really impressed you!",1,drift
"big yikes, this jacket was rough 😬",We apologize for the trouble with this jacket.,0,drift
ngl the coffee is actually fire 🔥,That's great to hear about the coffee!,1,drift
cant believe this laptop was this disappointing lol,Sorry to hear this laptop didn't work out.,0,drift
"somehow this bakery didn't disappoint for once, shocking",That's great to hear about this bakery!,1,drift
not gonna lie the delivery is kinda perfect,Thanks for sharing — happy the delivery worked out so well!,1,drift
wow this app really outdid itself in disappointing me,Sorry this app let you down — thanks for the feedback.,0,drift
cant believe this game was this disappointing lol,Sorry this game let you down — thanks for the feedback.,0,drift
"somehow the hotel room didn't disappoint for once, shocking",That's great to hear about the hotel room!,1,drift
this show lowkey ruined my day ngl,We apologize for the trouble with this show.,0,drift
this laptop deadass changed my life lol,"Awesome, sounds like this laptop really impressed you!",1,drift
wow this laptop really said let me disappoint you,"That's disappointing to hear about this laptop, sorry about that.",0,drift
okay the customer support is actually kinda amazing ngl,That's great to hear about the customer support!,1,drift
this phone... yeah no thx 💀,"That sounds frustrating, we'll look into this phone.",0,drift
"great job this book, truly inspiring levels of bad",Sorry this book let you down — thanks for the feedback.,0,drift
this bakery 2/10 do not recommend,Sorry this bakery let you down — thanks for the feedback.,0,drift
the movie got me smiling like an idiot ngl,"That's wonderful, thanks for letting us know about the movie!",1,drift
this game is giving excellence tbh,So glad you loved this game!,1,drift
cant believe the restaurant was this disappointing lol,Sorry the restaurant let you down — thanks for the feedback.,0,drift
lowkey obsessed with the coffee 😍,"Awesome, sounds like the coffee really impressed you!",1,drift
not gonna lie the new album is kinda perfect,Thanks for sharing — happy the new album worked out so well!,1,drift
this book really said main character energy,Love that! Thanks for the kind words about this book.,1,drift
wow this recipe really said let me disappoint you,Sorry this recipe let you down — thanks for the feedback.,0,drift
"great job the service, truly inspiring levels of bad","Sorry about that experience with the service, we'll do better.",0,drift
this recipe deadass changed my life lol,Thanks for sharing — happy this recipe worked out so well!,1,drift
"can't stop thinking about this recipe, so good!!","Awesome, sounds like this recipe really impressed you!",1,drift
the service mid af ngl,"That sounds frustrating, we'll look into the service.",0,drift
"the podcast was so overhyped, big letdown","That's disappointing to hear about the podcast, sorry about that.",0,drift
this game lowkey ruined my day ngl,Sorry to hear this game didn't work out.,0,drift
"great job this jacket, truly inspiring levels of bad",Sorry this jacket let you down — thanks for the feedback.,0,drift
okay this app is actually kinda amazing ngl,That's great to hear about this app!,1,drift
"great job the flight, truly inspiring levels of bad","Sorry about that experience with the flight, we'll do better.",0,drift
the museum... yeah no thx 💀,"That's disappointing to hear about the museum, sorry about that.",0,drift
this course is giving excellence tbh,That's great to hear about this course!,1,drift
this bakery mid af ngl,"That's disappointing to hear about this bakery, sorry about that.",0,drift
lol the movie is straight up trash,Sorry to hear the movie didn't work out.,0,drift
"oh great, the service broke again, love that for me","That's disappointing to hear about the service, sorry about that.",0,drift
this laptop is a hard pass fr,We apologize for the trouble with this laptop.,0,drift
the new album... yeah no thx 💀,Sorry the new album let you down — thanks for the feedback.,0,drift
this bakery straight up flopped ngl,We apologize for the trouble with this bakery.,0,drift
this course lowkey ruined my day ngl,Sorry to hear this course didn't work out.,0,drift
this jacket mid af ngl,Sorry this jacket let you down — thanks for the feedback.,0,drift
this app mid af ngl,"That sounds frustrating, we'll look into this app.",0,drift
the restaurant is elite fr,Love that! Thanks for the kind words about the restaurant.,1,drift
this show straight up flopped ngl,Sorry to hear this show didn't work out.,0,drift
not gonna lie this laptop is kinda perfect,Love that! Thanks for the kind words about this laptop.,1,drift
"can't stop thinking about this software update, so good!!",Love that! Thanks for the kind words about this software update.,1,drift
this show was mid tbh,"That's disappointing to hear about this show, sorry about that.",0,drift
lowkey obsessed with the museum 😍,"Awesome, sounds like the museum really impressed you!",1,drift
this jacket straight up flopped ngl,"That sounds frustrating, we'll look into this jacket.",0,drift
ngl the podcast is actually fire 🔥,So glad you loved the podcast!,1,drift
cant believe the flight was this disappointing lol,"Sorry about that experience with the flight, we'll do better.",0,drift
this camera 10/10 would recommend,"Awesome, sounds like this camera really impressed you!",1,drift
the delivery is elite fr,"Awesome, sounds like the delivery really impressed you!",1,drift
the movie was mid tbh,"That's disappointing to hear about the movie, sorry about that.",0,drift
lol this recipe is straight up trash,"Sorry about that experience with this recipe, we'll do better.",0,drift
"the flight was a whole vibe, loved it",Love that! Thanks for the kind words about the flight.,1,drift
cant believe the delivery was this disappointing lol,Sorry to hear the delivery didn't work out.,0,drift
this course deadass changed my life lol,"Awesome, sounds like this course really impressed you!",1,drift
this camera is a hard pass fr,"That sounds frustrating, we'll look into this camera.",0,drift
this laptop mid af ngl,Sorry to hear this laptop didn't work out.,0,drift
"somehow the service didn't disappoint for once, shocking",That's great to hear about the service!,1,drift
"the flight was so overhyped, big letdown","Sorry about that experience with the flight, we'll do better.",0,drift
this laptop 10/10 would recommend,Love that! Thanks for the kind words about this laptop.,1,drift
the flight is a hard pass fr,"Sorry about that experience with the flight, we'll do better.",0,drift
this software update... yeah no thx 💀,We apologize for the trouble with this software update.,0,drift
the delivery is giving excellence tbh,"That's wonderful, thanks for letting us know about the delivery!",1,drift
"yeah the delivery was amazing, said no one ever",Sorry to hear the delivery didn't work out.,0,drift
"great job the hotel room, truly inspiring levels of bad","Sorry about that experience with the hotel room, we'll do better.",0,drift
"oh great, this bakery broke again, love that for me","Sorry about that experience with this bakery, we'll do better.",0,drift
this camera was mid tbh,"That sounds frustrating, we'll look into this camera.",0,drift
this laptop lowkey ruined my day ngl,Sorry this laptop let you down — thanks for the feedback.,0,drift
this software update lowkey ruined my day ngl,"That's disappointing to hear about this software update, sorry about that.",0,drift
"oh great, this software update broke again, love that for me","That's disappointing to hear about this software update, sorry about that.",0,drift
the flight was mid tbh,"That sounds frustrating, we'll look into the flight.",0,drift
the flight straight up flopped ngl,"That's disappointing to hear about the flight, sorry about that.",0,drift
"this camera was so overhyped, big letdown","That's disappointing to hear about this camera, sorry about that.",0,drift
ngl the delivery is actually fire 🔥,Thanks for sharing — happy the delivery worked out so well!,1,drift
"shoutout to this phone, genuinely great","That's wonderful, thanks for letting us know about this phone!",1,drift
the restaurant slaps fr fr,"That's wonderful, thanks for letting us know about the restaurant!",1,drift
this phone deadass changed my life lol,That's great to hear about this phone!,1,drift
totally thrilled that this phone wasted my time,"Sorry about that experience with this phone, we'll do better.",0,drift
this software update is actually so underrated,"Awesome, sounds like this software update really impressed you!",1,drift
this book is giving excellence tbh,"Awesome, sounds like this book really impressed you!",1,drift
wasn't expecting much but the flight actually delivered,So glad you loved the flight!,1,drift
the service is a hard pass fr,Sorry the service let you down — thanks for the feedback.,0,drift
not gonna lie the hotel room is kinda perfect,"Awesome, sounds like the hotel room really impressed you!",1,drift
"yeah this software update was amazing, said no one ever","Sorry about that experience with this software update, we'll do better.",0,drift
totally thrilled that the service wasted my time,"That's disappointing to hear about the service, sorry about that.",0,drift
wasn't expecting much but the concert actually delivered,That's great to hear about the concert!,1,drift
okay the hotel room is actually kinda amazing ngl,That's great to hear about the hotel room!,1,drift
totally thrilled that this book wasted my time,"That sounds frustrating, we'll look into this book.",0,drift
lol this app is straight up trash,Sorry this app let you down — thanks for the feedback.,0,drift
this recipe 2/10 do not recommend,We apologize for the trouble with this recipe.,0,drift
"big yikes, the concert was rough 😬","That's disappointing to hear about the concert, sorry about that.",0,drift
the new album really said main character energy,"That's wonderful, thanks for letting us know about the new album!",1,drift
the hotel room lowkey ruined my day ngl,Sorry to hear the hotel room didn't work out.,0,drift
this show 10/10 would recommend,So glad you loved this show!,1,drift
okay this jacket is actually kinda amazing ngl,Love that! Thanks for the kind words about this jacket.,1,drift
this show is a hard pass fr,"Sorry about that experience with this show, we'll do better.",0,drift
totally thrilled that the museum wasted my time,Sorry the museum let you down — thanks for the feedback.,0,drift
not the gym membership being this bad 😭,"That's disappointing to hear about the gym membership, sorry about that.",0,drift
the new album 10/10 would recommend,"That's wonderful, thanks for letting us know about the new album!",1,drift
this app straight up flopped ngl,"Sorry about that experience with this app, we'll do better.",0,drift
the restaurant is giving excellence tbh,"Awesome, sounds like the restaurant really impressed you!",1,drift
"color me surprised, this camera was actually decent","Awesome, sounds like this camera really impressed you!",1,drift
this app was mid tbh,Sorry to hear this app didn't work out.,0,drift
"the coffee was so overhyped, big letdown",Sorry to hear the coffee didn't work out.,0,drift
the podcast hit different 🙌,"That's wonderful, thanks for letting us know about the podcast!",1,drift
this game mid af ngl,"That sounds frustrating, we'll look into this game.",0,drift
not gonna lie this game is kinda perfect,"Awesome, sounds like this game really impressed you!",1,drift
not gonna lie the customer support is kinda perfect,Love that! Thanks for the kind words about the customer support.,1,drift
"this bakery was so overhyped, big letdown",Sorry to hear this bakery didn't work out.,0,drift
this book was mid tbh,"That sounds frustrating, we'll look into this book.",0,drift
lol the new album is straight up trash,Sorry the new album let you down — thanks for the feedback.,0,drift
the coffee is a hard pass fr,We apologize for the trouble with the coffee.,0,drift
the coffee is elite fr,"Awesome, sounds like the coffee really impressed you!",1,drift
the delivery hit different 🙌,That's great to hear about the delivery!,1,drift
this software update 10/10 would recommend,"Awesome, sounds like this software update really impressed you!",1,drift
the movie... yeah no thx 💀,Sorry to hear the movie didn't work out.,0,drift
"can't stop thinking about this bakery, so good!!","Awesome, sounds like this bakery really impressed you!",1,drift
obsessed w the flight rn 😭❤️,Love that! Thanks for the kind words about the flight.,1,drift
the concert is actually so underrated,Love that! Thanks for the kind words about the concert.,1,drift
wasn't expecting much but this software update actually delivered,"Awesome, sounds like this software update really impressed you!",1,drift
"somehow the movie didn't disappoint for once, shocking",That's great to hear about the movie!,1,drift
okay this phone is actually kinda amazing ngl,Thanks for sharing — happy this phone worked out so well!,1,drift
ngl this course is actually fire 🔥,Thanks for sharing — happy this course worked out so well!,1,drift
lol the restaurant is straight up trash,Sorry the restaurant let you down — thanks for the feedback.,0,drift
the podcast 2/10 do not recommend,We apologize for the trouble with the podcast.,0,drift
"yeah this game was amazing, said no one ever",Sorry to hear this game didn't work out.,0,drift
this phone slaps fr fr,Love that! Thanks for the kind words about this phone.,1,drift
totally thrilled that the customer support wasted my time,"That sounds frustrating, we'll look into the customer support.",0,drift
wasn't expecting much but the delivery actually delivered,That's great to hear about the delivery!,1,drift
"great job this laptop, truly inspiring levels of bad","Sorry about that experience with this laptop, we'll do better.",0,drift
this software update deadass changed my life lol,That's great to hear about this software update!,1,drift
the service deadass changed my life lol,"That's wonderful, thanks for letting us know about the service!",1,drift
"shoutout to the museum, genuinely great","That's wonderful, thanks for letting us know about the museum!",1,drift
"oh great, the customer support broke again, love that for me","That's disappointing to hear about the customer support, sorry about that.",0,drift
not this show being this bad 😭,"Sorry about that experience with this show, we'll do better.",0,drift
not this software update being this bad 😭,"That sounds frustrating, we'll look into this software update.",0,drift
the podcast 10/10 would recommend,Thanks for sharing — happy the podcast worked out so well!,1,drift
the restaurant... yeah no thx 💀,We apologize for the trouble with the restaurant.,0,drift
wasn't expecting much but the museum actually delivered,"Awesome, sounds like the museum really impressed you!",1,drift
wasn't expecting much but this app actually delivered,"That's wonderful, thanks for letting us know about this app!",1,drift
lowkey obsessed with this software update 😍,"Awesome, sounds like this software update really impressed you!",1,drift
wow this laptop really outdid itself in disappointing me,"Sorry about that experience with this laptop, we'll do better.",0,drift
this software update is giving excellence tbh,So glad you loved this software update!,1,drift
"the customer support was a whole vibe, loved it","That's wonderful, thanks for letting us know about the customer support!",1,drift
"big yikes, this bakery was rough 😬","That sounds frustrating, we'll look into this bakery.",0,drift
"big yikes, this phone was rough 😬",Sorry to hear this phone didn't work out.,0,drift
"somehow this book didn't disappoint for once, shocking",So glad you loved this book!,1,drift
this phone lowkey ruined my day ngl,"That's disappointing to hear about this phone, sorry about that.",0,drift
not this game being this bad 😭,"Sorry about that experience with this game, we'll do better.",0,drift
this course is elite fr,So glad you loved this course!,1,drift
this app is goated no cap,"That's wonderful, thanks for letting us know about this app!",1,drift
this camera really said main character energy,"Awesome, sounds like this camera really impressed you!",1,drift
"this book was so overhyped, big letdown","Sorry about that experience with this book, we'll do better.",0,drift
"can't stop thinking about the podcast, so good!!",Love that! Thanks for the kind words about the podcast.,1,drift
wow the gym membership really outdid itself in disappointing me,"That sounds frustrating, we'll look into the gym membership.",0,drift
the new album deadass changed my life lol,Thanks for sharing — happy the new album worked out so well!,1,drift
"yeah the hotel room was amazing, said no one ever","That sounds frustrating, we'll look into the hotel room.",0,drift
this bakery... yeah no thx 💀,"That's disappointing to hear about this bakery, sorry about that.",0,drift
not me loving the customer support this much lol,"That's wonderful, thanks for letting us know about the customer support!",1,drift
lol the delivery is straight up trash,"That sounds frustrating, we'll look into the delivery.",0,drift
"big yikes, this laptop was rough 😬",Sorry to hear this laptop didn't work out.,0,drift
wasn't expecting much but this bakery actually delivered,Love that! Thanks for the kind words about this bakery.,1,drift
the restaurant mid af ngl,Sorry to hear the restaurant didn't work out.,0,drift
not me loving the flight this much lol,That's great to hear about the flight!,1,drift
wow the flight really outdid itself in disappointing me,Sorry to hear the flight didn't work out.,0,drift
the flight is goated no cap,"That's wonderful, thanks for letting us know about the flight!",1,drift
"shoutout to this app, genuinely great","Awesome, sounds like this app really impressed you!",1,drift
wasn't expecting much but this camera actually delivered,"That's wonderful, thanks for letting us know about this camera!",1,drift
