text,label,style
"yeah the service was amazing, said no one ever",0,drift
the flight... yeah no thx 💀,0,drift
"oh great, this camera broke again, love that for me",0,drift
totally thrilled that the coffee wasted my time,0,drift
"this game was a whole vibe, loved it",1,drift
the podcast is actually so underrated,1,drift
this course... yeah no thx 💀,0,drift
cant believe this app was this disappointing lol,0,drift
not gonna lie the movie is kinda perfect,1,drift
totally thrilled that the podcast wasted my time,0,drift
"big yikes, the movie was rough 😬",0,drift
the flight lowkey ruined my day ngl,0,drift
this recipe is a hard pass fr,0,drift
the delivery hit different 🙌,1,drift
wasn't expecting much but the service actually delivered,1,drift
not gonna lie the new album is kinda perfect,1,drift
the service is actually so underrated,1,drift
this course slaps fr fr,1,drift
wasn't expecting much but this show actually delivered,1,drift
wasn't expecting much but the concert actually delivered,1,drift
"great job the new album, truly inspiring levels of bad",0,drift
the museum 10/10 would recommend,1,drift
wow the coffee really said let me disappoint you,0,drift
wow this show really said let me disappoint you,0,drift
this game slaps fr fr,1,drift
"oh great, this laptop broke again, love that for me",0,drift
wow the gym membership really outdid itself in disappointing me,0,drift
wow this course really said let me disappoint you,0,drift
"great job the podcast, truly inspiring levels of bad",0,drift
"yeah this bakery was amazing, said no one ever",0,drift
ngl this bakery is actually fire 🔥,1,drift
the new album slaps fr fr,1,drift
okay this book is actually kinda amazing ngl,1,drift
"great job this recipe, truly inspiring levels of bad",0,drift
"yeah this jacket was amazing, said no one ever",0,drift
not this course being this bad 😭,0,drift
this laptop is goated no cap,1,drift
lol this recipe is straight up trash,0,drift
totally thrilled that the flight wasted my time,0,drift
lol the customer support is straight up trash,0,drift
the concert 10/10 would recommend,1,drift
this camera got me smiling like an idiot ngl,1,drift
"can't stop thinking about the flight, so good!!",1,drift
the service 2/10 do not recommend,0,drift
this software update hit different 🙌,1,drift
lol this laptop is straight up trash,0,drift
"great job the museum, truly inspiring levels of bad",0,drift
"can't stop thinking about this laptop, so good!!",1,drift
cant believe the delivery was this disappointing lol,0,drift
the podcast is goated no cap,1,drift
wow this laptop really said let me disappoint you,0,drift
wow this camera really outdid itself in disappointing me,0,drift
the gym membership mid af ngl,0,drift
"great job the service, truly inspiring levels of bad",0,drift
"big yikes, the service was rough 😬",0,drift
not me loving this bakery this much lol,1,drift
okay this jacket is actually kinda amazing ngl,1,drift
this laptop hit different 🙌,1,drift
"oh great, this software update broke again, love that for me",0,drift
the coffee slaps fr fr,1,drift
this book straight up flopped ngl,0,drift
the movie was mid tbh,0,drift
the coffee is giving excellence tbh,1,drift
the coffee got me smiling like an idiot ngl,1,drift
the hotel room is goated no cap,1,drift
the restaurant mid af ngl,0,drift
the customer support lowkey ruined my day ngl,0,drift
"the customer support was a whole vibe, loved it",1,drift
totally thrilled that the gym membership wasted my time,0,drift
lol the flight is straight up trash,0,drift
"the delivery was a whole vibe, loved it",1,drift
wow the restaurant really said let me disappoint you,0,drift
not me loving this game this much lol,1,drift
not this software update being this bad 😭,0,drift
obsessed w the movie rn 😭❤️,1,drift
not this laptop being this bad 😭,0,drift
"the podcast was so overhyped, big letdown",0,drift
"shoutout to this phone, genuinely great",1,drift
cant believe the service was this disappointing lol,0,drift
totally thrilled that the new album wasted my time,0,drift
okay the movie is actually kinda amazing ngl,1,drift
totally thrilled that this game wasted my time,0,drift
cant believe this game was this disappointing lol,0,drift
the service is giving excellence tbh,1,drift
okay this app is actually kinda amazing ngl,1,drift
not the flight being this bad 😭,0,drift
this show got me smiling like an idiot ngl,1,drift
cant believe the customer support was this disappointing lol,0,drift
this bakery is giving excellence tbh,1,drift
cant believe the new album was this disappointing lol,0,drift
"can't stop thinking about this phone, so good!!",1,drift
"can't stop thinking about the restaurant, so good!!",1,drift
"great job the flight, truly inspiring levels of bad",0,drift
obsessed w this camera rn 😭❤️,1,drift
the concert slaps fr fr,1,drift
"can't stop thinking about the delivery, so good!!",1,drift
this laptop... yeah no thx 💀,0,drift
the customer support slaps fr fr,1,drift
"shoutout to the service, genuinely great",1,drift
wow the podcast really said let me disappoint you,0,drift
this laptop is a hard pass fr,0,drift
cant believe this book was this disappointing lol,0,drift
this camera 10/10 would recommend,1,drift
lowkey obsessed with this game 😍,1,drift
"color me surprised, the movie was actually decent",1,drift
this course is a hard pass fr,0,drift
"color me surprised, this phone was actually decent",1,drift
this jacket 2/10 do not recommend,0,drift
lowkey obsessed with the flight 😍,1,drift
this camera is actually so underrated,1,drift
the podcast is giving excellence tbh,1,drift
this book is a hard pass fr,0,drift
"color me surprised, the new album was actually decent",1,drift
wow this recipe really outdid itself in disappointing me,0,drift
"color me surprised, this software update was actually decent",1,drift
"the flight was so overhyped, big letdown",0,drift
wow this course really outdid itself in disappointing me,0,drift
"color me surprised, this app was actually decent",1,drift
obsessed w the new album rn 😭❤️,1,drift
lol this software update is straight up trash,0,drift
this app deadass changed my life lol,1,drift
not me loving this camera this much lol,1,drift
the flight 10/10 would recommend,1,drift
lowkey obsessed with this phone 😍,1,drift
this camera 2/10 do not recommend,0,drift
the coffee is elite fr,1,drift
lowkey obsessed with the concert 😍,1,drift
this course 2/10 do not recommend,0,drift
not me loving this recipe this much lol,1,drift
lol the delivery is straight up trash,0,drift
not me loving the flight this much lol,1,drift
"can't stop thinking about this software update, so good!!",1,drift
this show slaps fr fr,1,drift
this software update was mid tbh,0,drift
"big yikes, the gym membership was rough 😬",0,drift
the service... yeah no thx 💀,0,drift
this phone is giving excellence tbh,1,drift
"the hotel room was a whole vibe, loved it",1,drift
the delivery is elite fr,1,drift
the museum straight up flopped ngl,0,drift
wow the service really outdid itself in disappointing me,0,drift
"this bakery was so overhyped, big letdown",0,drift
this bakery is actually so underrated,1,drift
"somehow this course didn't disappoint for once, shocking",1,drift
the hotel room 10/10 would recommend,1,drift
"somehow this laptop didn't disappoint for once, shocking",1,drift
this show straight up flopped ngl,0,drift
the new album 10/10 would recommend,1,drift
wasn't expecting much but this camera actually delivered,1,drift
cant believe this software update was this disappointing lol,0,drift
this game is a hard pass fr,0,drift
cant believe this phone was this disappointing lol,0,drift
the hotel room is a hard pass fr,0,drift
the service really said main character energy,1,drift
lowkey obsessed with this software update 😍,1,drift
this software update really said main character energy,1,drift
this laptop was mid tbh,0,drift
totally thrilled that the museum wasted my time,0,drift
this phone really said main character energy,1,drift
"somehow the podcast didn't disappoint for once, shocking",1,drift
not me loving the gym membership this much lol,1,drift
this book lowkey ruined my day ngl,0,drift
okay the hotel room is actually kinda amazing ngl,1,drift
the restaurant was mid tbh,0,drift
okay this software update is actually kinda amazing ngl,1,drift
"great job the customer support, truly inspiring levels of bad",0,drift
this phone 2/10 do not recommend,0,drift
ngl the service is actually fire 🔥,1,drift
this software update is elite fr,1,drift
lol this show is straight up trash,0,drift
"color me surprised, this laptop was actually decent",1,drift
the gym membership is a hard pass fr,0,drift
this app mid af ngl,0,drift
"yeah this laptop was amazing, said no one ever",0,drift
this show is giving excellence tbh,1,drift
"the flight was a whole vibe, loved it",1,drift
wasn't expecting much but the delivery actually delivered,1,drift
the customer support mid af ngl,0,drift
lowkey obsessed with the new album 😍,1,drift
"yeah this software update was amazing, said no one ever",0,drift
"somehow this jacket didn't disappoint for once, shocking",1,drift
this software update slaps fr fr,1,drift
the new album... yeah no thx 💀,0,drift
"this app was a whole vibe, loved it",1,drift
wow the flight really outdid itself in disappointing me,0,drift
this app was mid tbh,0,drift
this camera straight up flopped ngl,0,drift
wow the movie really said let me disappoint you,0,drift
"color me surprised, this jacket was actually decent",1,drift
the gym membership is giving excellence tbh,1,drift
"the movie was a whole vibe, loved it",1,drift
this software update mid af ngl,0,drift
ngl this phone is actually fire 🔥,1,drift
the hotel room... yeah no thx 💀,0,drift
the coffee... yeah no thx 💀,0,drift
the delivery really said main character energy,1,drift
cant believe the coffee was this disappointing lol,0,drift
"color me surprised, this bakery was actually decent",1,drift
the service straight up flopped ngl,0,drift
wow this camera really said let me disappoint you,0,drift
the movie lowkey ruined my day ngl,0,drift
"can't stop thinking about this show, so good!!",1,drift
wow the new album really outdid itself in disappointing me,0,drift
"great job this software update, truly inspiring levels of bad",0,drift
wow this bakery really said let me disappoint you,0,drift
not me loving the delivery this much lol,1,drift
"somehow the new album didn't disappoint for once, shocking",1,drift
wasn't expecting much but this app actually delivered,1,drift
this app 10/10 would recommend,1,drift
the coffee 10/10 would recommend,1,drift
the museum is giving excellence tbh,1,drift
this game was mid tbh,0,drift
this phone is actually so underrated,1,drift
the customer support straight up flopped ngl,0,drift
"color me surprised, the coffee was actually decent",1,drift
"the new album was so overhyped, big letdown",0,drift
obsessed w the podcast rn 😭❤️,1,drift
the delivery... yeah no thx 💀,0,drift
the coffee hit different 🙌,1,drift
the gym membership... yeah no thx 💀,0,drift
this laptop 2/10 do not recommend,0,drift
this bakery slaps fr fr,1,drift
the podcast lowkey ruined my day ngl,0,drift
cant believe the gym membership was this disappointing lol,0,drift
okay the flight is actually kinda amazing ngl,1,drift
not the coffee being this bad 😭,0,drift
cant believe this course was this disappointing lol,0,drift
this software update lowkey ruined my day ngl,0,drift
"big yikes, this software update was rough 😬",0,drift
"can't stop thinking about the movie, so good!!",1,drift
the gym membership 2/10 do not recommend,0,drift
"can't stop thinking about this game, so good!!",1,drift
this jacket is giving excellence tbh,1,drift
the gym membership 10/10 would recommend,1,drift
lol the coffee is straight up trash,0,drift
obsessed w the delivery rn 😭❤️,1,drift
the hotel room is elite fr,1,drift
this software update 2/10 do not recommend,0,drift
okay this phone is actually kinda amazing ngl,1,drift
the coffee 2/10 do not recommend,0,drift
the coffee lowkey ruined my day ngl,0,drift
lol the new album is straight up trash,0,drift
not this jacket being this bad 😭,0,drift
not me loving the restaurant this much lol,1,drift
wasn't expecting much but this software update actually delivered,1,drift
"color me surprised, the concert was actually decent",1,drift
wow the service really said let me disappoint you,0,drift
wasn't expecting much but the movie actually delivered,1,drift
this laptop lowkey ruined my day ngl,0,drift
the service mid af ngl,0,drift
lowkey obsessed with the movie 😍,1,drift
this bakery really said main character energy,1,drift
this app is actually so underrated,1,drift
okay the concert is actually kinda amazing ngl,1,drift
the gym membership really said main character energy,1,drift
the hotel room 2/10 do not recommend,0,drift
obsessed w this bakery rn 😭❤️,1,drift
not me loving the movie this much lol,1,drift
wasn't expecting much but this book actually delivered,1,drift
"great job the coffee, truly inspiring levels of bad",0,drift
lowkey obsessed with this bakery 😍,1,drift
wow the museum really outdid itself in disappointing me,0,drift
"color me surprised, this camera was actually decent",1,drift
"oh great, this phone broke again, love that for me",0,drift
"color me surprised, the flight was actually decent",1,drift
"somehow this camera didn't disappoint for once, shocking",1,drift
the podcast hit different 🙌,1,drift
the concert was mid tbh,0,drift
this book 10/10 would recommend,1,drift
the concert... yeah no thx 💀,0,drift
this recipe 2/10 do not recommend,0,drift
wow this software update really outdid itself in disappointing me,0,drift
not this camera being this bad 😭,0,drift
wasn't expecting much but this phone actually delivered,1,drift
the delivery 2/10 do not recommend,0,drift
not me loving the new album this much lol,1,drift
the customer support 2/10 do not recommend,0,drift
lol the museum is straight up trash,0,drift
the gym membership got me smiling like an idiot ngl,1,drift
"color me surprised, the restaurant was actually decent",1,drift
not this bakery being this bad 😭,0,drift
"can't stop thinking about the new album, so good!!",1,drift
the movie 10/10 would recommend,1,drift
"shoutout to the hotel room, genuinely great",1,drift
the customer support... yeah no thx 💀,0,drift
obsessed w this software update rn 😭❤️,1,drift
the hotel room lowkey ruined my day ngl,0,drift
this laptop mid af ngl,0,drift
the hotel room really said main character energy,1,drift
the hotel room straight up flopped ngl,0,drift
"the podcast was a whole vibe, loved it",1,drift
wow the flight really said let me disappoint you,0,drift
this laptop is actually so underrated,1,drift
ngl this book is actually fire 🔥,1,drift
the restaurant straight up flopped ngl,0,drift
wow the concert really outdid itself in disappointing me,0,drift
"big yikes, this laptop was rough 😬",0,drift
totally thrilled that the delivery wasted my time,0,drift
totally thrilled that this recipe wasted my time,0,drift
"this recipe was so overhyped, big letdown",0,drift
"oh great, the restaurant broke again, love that for me",0,drift
this jacket slaps fr fr,1,drift
"can't stop thinking about the concert, so good!!",1,drift
"yeah the restaurant was amazing, said no one ever",0,drift
"big yikes, the museum was rough 😬",0,drift
this show deadass changed my life lol,1,drift
okay this bakery is actually kinda amazing ngl,1,drift
lowkey obsessed with the gym membership 😍,1,drift
the podcast deadass changed my life lol,1,drift
this bakery was mid tbh,0,drift
this course is giving excellence tbh,1,drift
"great job this laptop, truly inspiring levels of bad",0,drift
wow this app really outdid itself in disappointing me,0,drift
"this jacket was so overhyped, big letdown",0,drift
this recipe lowkey ruined my day ngl,0,drift
ngl the coffee is actually fire 🔥,1,drift
obsessed w the coffee rn 😭❤️,1,drift
the podcast is a hard pass fr,0,drift
"somehow the gym membership didn't disappoint for once, shocking",1,drift
not the movie being this bad 😭,0,drift
the concert 2/10 do not recommend,0,drift
this course hit different 🙌,1,drift
"oh great, the museum broke again, love that for me",0,drift
this bakery straight up flopped ngl,0,drift
obsessed w this game rn 😭❤️,1,drift
lowkey obsessed with this jacket 😍,1,drift
the restaurant... yeah no thx 💀,0,drift
okay the gym membership is actually kinda amazing ngl,1,drift
totally thrilled that this course wasted my time,0,drift
not gonna lie this camera is kinda perfect,1,drift
wasn't expecting much but the new album actually delivered,1,drift
"the movie was so overhyped, big letdown",0,drift
cant believe the flight was this disappointing lol,0,drift
this camera mid af ngl,0,drift
wow this game really said let me disappoint you,0,drift
the delivery straight up flopped ngl,0,drift
ngl the movie is actually fire 🔥,1,drift
"yeah the museum was amazing, said no one ever",0,drift
the new album lowkey ruined my day ngl,0,drift
not me loving the concert this much lol,1,drift
"can't stop thinking about this bakery, so good!!",1,drift
lowkey obsessed with the coffee 😍,1,drift
totally thrilled that the concert wasted my time,0,drift
not the gym membership being this bad 😭,0,drift
ngl the customer support is actually fire 🔥,1,drift
this course mid af ngl,0,drift
"somehow this phone didn't disappoint for once, shocking",1,drift
"shoutout to this recipe, genuinely great",1,drift
the coffee deadass changed my life lol,1,drift
the museum... yeah no thx 💀,0,drift
not me loving this jacket this much lol,1,drift
the delivery is goated no cap,1,drift
not this book being this bad 😭,0,drift
this game lowkey ruined my day ngl,0,drift
"yeah the flight was amazing, said no one ever",0,drift
this jacket deadass changed my life lol,1,drift
totally thrilled that this bakery wasted my time,0,drift
"oh great, this course broke again, love that for me",0,drift
the coffee is a hard pass fr,0,drift
the museum is a hard pass fr,0,drift
obsessed w this course rn 😭❤️,1,drift
"yeah this recipe was amazing, said no one ever",0,drift
this book is actually so underrated,1,drift
"the concert was so overhyped, big letdown",0,drift
the customer support really said main character energy,1,drift
the movie got me smiling like an idiot ngl,1,drift
wow the hotel room really outdid itself in disappointing me,0,drift
the podcast got me smiling like an idiot ngl,1,drift
okay the new album is actually kinda amazing ngl,1,drift
the restaurant 2/10 do not recommend,0,drift
ngl the hotel room is actually fire 🔥,1,drift
ngl the museum is actually fire 🔥,1,drift
the delivery lowkey ruined my day ngl,0,drift
this laptop straight up flopped ngl,0,drift
the museum mid af ngl,0,drift
wow the concert really said let me disappoint you,0,drift
this recipe slaps fr fr,1,drift
wow the delivery really said let me disappoint you,0,drift
totally thrilled that this laptop wasted my time,0,drift
"oh great, the gym membership broke again, love that for me",0,drift
wow this phone really outdid itself in disappointing me,0,drift
wow this bakery really outdid itself in disappointing me,0,drift
not me loving this course this much lol,1,drift
the hotel room is actually so underrated,1,drift
"great job this bakery, truly inspiring levels of bad",0,drift
this book is goated no cap,1,drift
the service deadass changed my life lol,1,drift
this bakery 10/10 would recommend,1,drift
the concert is goated no cap,1,drift
the hotel room deadass changed my life lol,1,drift
this app slaps fr fr,1,drift
wasn't expecting much but the museum actually delivered,1,drift
not gonna lie this jacket is kinda perfect,1,drift
cant believe this laptop was this disappointing lol,0,drift
the new album is a hard pass fr,0,drift
"can't stop thinking about the hotel room, so good!!",1,drift
"oh great, the service broke again, love that for me",0,drift
obsessed w the customer support rn 😭❤️,1,drift
not the hotel room being this bad 😭,0,drift
this laptop got me smiling like an idiot ngl,1,drift
this book was mid tbh,0,drift
the gym membership deadass changed my life lol,1,drift
"yeah the gym membership was amazing, said no one ever",0,drift
wow this app really said let me disappoint you,0,drift
"somehow this show didn't disappoint for once, shocking",1,drift
lol this book is straight up trash,0,drift
this jacket is elite fr,1,drift
this phone is elite fr,1,drift
the new album straight up flopped ngl,0,drift
the new album was mid tbh,0,drift
this phone lowkey ruined my day ngl,0,drift
"shoutout to the gym membership, genuinely great",1,drift
this recipe is actually so underrated,1,drift
"color me surprised, this book was actually decent",1,drift
"big yikes, this camera was rough 😬",0,drift
this book mid af ngl,0,drift
this show is elite fr,1,drift
wasn't expecting much but this laptop actually delivered,1,drift
cant believe this show was this disappointing lol,0,drift
obsessed w this phone rn 😭❤️,1,drift
not gonna lie this show is kinda perfect,1,drift
this game is giving excellence tbh,1,drift
the customer support is giving excellence tbh,1,drift
"somehow the restaurant didn't disappoint for once, shocking",1,drift
not gonna lie this app is kinda perfect,1,drift
"this laptop was so overhyped, big letdown",0,drift
this phone straight up flopped ngl,0,drift
this phone is goated no cap,1,drift
this book is giving excellence tbh,1,drift
this game 10/10 would recommend,1,drift
"oh great, this game broke again, love that for me",0,drift
"can't stop thinking about the gym membership, so good!!",1,drift
obsessed w the concert rn 😭❤️,1,drift
the concert is actually so underrated,1,drift
the podcast is elite fr,1,drift
the movie is goated no cap,1,drift
"shoutout to the restaurant, genuinely great",1,drift
obsessed w this jacket rn 😭❤️,1,drift
this app hit different 🙌,1,drift
"this app was so overhyped, big letdown",0,drift
this recipe got me smiling like an idiot ngl,1,drift
not me loving the museum this much lol,1,drift
"color me surprised, this recipe was actually decent",1,drift
"oh great, the coffee broke again, love that for me",0,drift
cant believe the concert was this disappointing lol,0,drift
the service hit different 🙌,1,drift
wow the customer support really outdid itself in disappointing me,0,drift
the gym membership was mid tbh,0,drift
okay the customer support is actually kinda amazing ngl,1,drift
the new album hit different 🙌,1,drift
the customer support is a hard pass fr,0,drift
this laptop really said main character energy,1,drift
the hotel room got me smiling like an idiot ngl,1,drift
"color me surprised, the podcast was actually decent",1,drift
cant believe this camera was this disappointing lol,0,drift
"yeah this phone was amazing, said no one ever",0,drift
"yeah the concert was amazing, said no one ever",0,drift
this camera really said main character energy,1,drift
okay the service is actually kinda amazing ngl,1,drift
the customer support deadass changed my life lol,1,drift
not gonna lie the gym membership is kinda perfect,1,drift
wow the new album really said let me disappoint you,0,drift
totally thrilled that this app wasted my time,0,drift
totally thrilled that the movie wasted my time,0,drift
"the coffee was so overhyped, big letdown",0,drift
this show mid af ngl,0,drift
the flight mid af ngl,0,drift
ngl the delivery is actually fire 🔥,1,drift
the new album got me smiling like an idiot ngl,1,drift
"this book was a whole vibe, loved it",1,drift
"the concert was a whole vibe, loved it",1,drift
not the museum being this bad 😭,0,drift
the restaurant deadass changed my life lol,1,drift
not this game being this bad 😭,0,drift
obsessed w the gym membership rn 😭❤️,1,drift
the hotel room hit different 🙌,1,drift
this recipe was mid tbh,0,drift
this laptop 10/10 would recommend,1,drift
the museum lowkey ruined my day ngl,0,drift
obsessed w the service rn 😭❤️,1,drift
"the coffee was a whole vibe, loved it",1,drift
the flight is goated no cap,1,drift
not this recipe being this bad 😭,0,drift
this camera hit different 🙌,1,drift
"big yikes, the new album was rough 😬",0,drift
"oh great, this show broke again, love that for me",0,drift
the gym membership is actually so underrated,1,drift
this game really said main character energy,1,drift
the coffee mid af ngl,0,drift
lol the movie is straight up trash,0,drift
this jacket was mid tbh,0,drift
"this camera was a whole vibe, loved it",1,drift
not me loving this app this much lol,1,drift
not me loving the coffee this much lol,1,drift
"this laptop was a whole vibe, loved it",1,drift
this course straight up flopped ngl,0,drift
the coffee was mid tbh,0,drift
this recipe 10/10 would recommend,1,drift
"big yikes, the delivery was rough 😬",0,drift
this recipe mid af ngl,0,drift
this show was mid tbh,0,drift
not gonna lie the restaurant is kinda perfect,1,drift
this camera lowkey ruined my day ngl,0,drift
totally thrilled that this show wasted my time,0,drift
"big yikes, this phone was rough 😬",0,drift
the concert is giving excellence tbh,1,drift
wow the podcast really outdid itself in disappointing me,0,drift
the coffee straight up flopped ngl,0,drift
lol the gym membership is straight up trash,0,drift
"color me surprised, this show was actually decent",1,drift
"shoutout to the delivery, genuinely great",1,drift
totally thrilled that the service wasted my time,0,drift
"this game was so overhyped, big letdown",0,drift
okay the coffee is actually kinda amazing ngl,1,drift
"big yikes, the coffee was rough 😬",0,drift
wow the museum really said let me disappoint you,0,drift
this phone hit different 🙌,1,drift
the gym membership hit different 🙌,1,drift
"can't stop thinking about this book, so good!!",1,drift
this game deadass changed my life lol,1,drift
this phone... yeah no thx 💀,0,drift
"shoutout to this software update, genuinely great",1,drift
"big yikes, the podcast was rough 😬",0,drift
this game 2/10 do not recommend,0,drift
"somehow the concert didn't disappoint for once, shocking",1,drift
not the customer support being this bad 😭,0,drift
"big yikes, the hotel room was rough 😬",0,drift
lol this app is straight up trash,0,drift
"this book was so overhyped, big letdown",0,drift
this phone mid af ngl,0,drift
"shoutout to the customer support, genuinely great",1,drift
the movie is giving excellence tbh,1,drift
not me loving this show this much lol,1,drift
this game... yeah no thx 💀,0,drift
the flight got me smiling like an idiot ngl,1,drift
"color me surprised, the hotel room was actually decent",1,drift
cant believe the restaurant was this disappointing lol,0,drift
totally thrilled that this jacket wasted my time,0,drift
the new album really said main character energy,1,drift
this game got me smiling like an idiot ngl,1,drift
"oh great, the movie broke again, love that for me",0,drift
the new album is elite fr,1,drift
"can't stop thinking about the podcast, so good!!",1,drift
"can't stop thinking about this app, so good!!",1,drift
this course was mid tbh,0,drift
wow this game really outdid itself in disappointing me,0,drift
this software update got me smiling like an idiot ngl,1,drift
the service was mid tbh,0,drift
the movie 2/10 do not recommend,0,drift
ngl this camera is actually fire 🔥,1,drift
not gonna lie this laptop is kinda perfect,1,drift
wow the restaurant really outdid itself in disappointing me,0,drift
"great job this course, truly inspiring levels of bad",0,drift
the new album is actually so underrated,1,drift
"shoutout to the new album, genuinely great",1,drift
"can't stop thinking about the museum, so good!!",1,drift
this laptop deadass changed my life lol,1,drift
this software update is goated no cap,1,drift
the museum 2/10 do not recommend,0,drift
"oh great, this jacket broke again, love that for me",0,drift
this software update... yeah no thx 💀,0,drift
"big yikes, the customer support was rough 😬",0,drift
this show lowkey ruined my day ngl,0,drift
this camera is elite fr,1,drift
lol the service is straight up trash,0,drift
wow this book really said let me disappoint you,0,drift
